PLAYER_ID,PLAYER_NAME,CURRENT_TEAM_ID
1629675,Naz Reid,Minnesota Timberwolves
1629677,Luka Samanic,Utah Jazz
1629678,Admiral Schofield,Orlando Magic
1629680,Matisse Thybulle,Portland Trail Blazers
1629684,Grant Williams,Dallas Mavericks
1629685,Dylan Windler,Atlanta Hawks
1629716,Marques Bolden,Charlotte Hornets
1629717,Armoni Brooks,Brooklyn Nets
1629718,Charlie Brown Jr.,New York Knicks
1629723,John Konchar,Memphis Grizzlies
1629726,Garrison Mathews,Atlanta Hawks
1629731,Dean Wade,Cleveland Cavaliers
1629750,Javonte Green,Chicago Bulls
1629875,Xavier Moon,LA Clippers
1630162,Anthony Edwards,Minnesota Timberwolves
1630163,LaMelo Ball,Charlotte Hornets
1630164,James Wiseman,Detroit Pistons
1630165,Killian Hayes,Detroit Pistons
1630166,Deni Avdija,Washington Wizards
1630167,Obi Toppin,Indiana Pacers
1630168,Onyeka Okongwu,Atlanta Hawks
1630169,Tyrese Haliburton,Indiana Pacers
1630170,Devin Vassell,San Antonio Spurs
1630171,Isaac Okoro,Cleveland Cavaliers
1630172,Patrick Williams,Chicago Bulls
1630173,Precious Achiuwa,New York Knicks
1630174,Aaron Nesmith,Indiana Pacers
1630175,Cole Anthony,Orlando Magic
1630177,Theo Maledon,Charlotte Hornets
1630178,Tyrese Maxey,Philadelphia 76ers
1630180,Saddiq Bey,Atlanta Hawks
1630181,R.J. Hampton,Miami Heat
1630182,Josh Green,Dallas Mavericks
1630183,Jaden McDaniels,Minnesota Timberwolves
1630184,Kira Lewis Jr.,New Orleans Pelicans
1630186,Jahmi'us Ramsey,Toronto Raptors
1630188,Jalen Smith,Indiana Pacers
1630191,Isaiah Stewart,Detroit Pistons
1630192,Zeke Nnaji,Denver Nuggets
1630193,Immanuel Quickley,Toronto Raptors
1630194,Paul Reed,Philadelphia 76ers
1630196,Filip Petrusev,Sacramento Kings
1630197,Aleksej Pokusevski,Charlotte Hornets
1630198,Isaiah Joe,Oklahoma City Thunder
1630200,Tre Jones,San Antonio Spurs
1630201,Malachi Flynn,Detroit Pistons
1630202,Payton Pritchard,Boston Celtics
1630204,Ashton Hagans,Portland Trail Blazers
1630205,Lamar Stevens,Memphis Grizzlies
1630207,Nate Hinton,Houston Rockets
1630208,Nick Richards,Charlotte Hornets
1630209,Omer Yurtseven,Utah Jazz
1630214,Xavier Tillman,Memphis Grizzlies
1630215,Jared Butler,Washington Wizards
1630217,Desmond Bane,Memphis Grizzlies
1630219,Skylar Mays,Portland Trail Blazers
1630222,Mason Jones,Sacramento Kings
1630224,Jalen Green,Houston Rockets
1630227,Daishen Nix,Minnesota Timberwolves
1630228,Jonathan Kuminga,Golden State Warriors
1630230,Naji Marshall,New Orleans Pelicans
1630231,KJ Martin,Philadelphia 76ers
1630235,Trent Forrest,Atlanta Hawks
1630240,Saben Lee,Phoenix Suns
1630241,Sam Merrill,Cleveland Cavaliers
1630243,Trevelin Queen,Orlando Magic
1630245,Ayo Dosunmu,Chicago Bulls
1630249,Vit Krejci,Atlanta Hawks
1630256,Jae'Sean Tate,Houston Rockets
1630259,Jordan Ford,Sacramento Kings
1630264,Anthony Gill,Washington Wizards
1630284,Kevon Harris,Orlando Magic
1630285,Zavier Simpson,Memphis Grizzlies
1630288,Jeff Dowtin Jr.,Philadelphia 76ers
1630296,Braxton Key,Denver Nuggets
1630311,Pat Spencer,Golden State Warriors
1630314,Brandon Williams,Dallas Mavericks
1630322,Lindy Waters III,Oklahoma City Thunder
1630346,Matt Ryan,New Orleans Pelicans
1630526,Jeremiah Robinson-Earl,New Orleans Pelicans
1630527,Brandon Boston Jr.,LA Clippers
1630529,Herbert Jones,New Orleans Pelicans
1630530,Trey Murphy III,New Orleans Pelicans
1630531,Jaden Springer,Philadelphia 76ers
1630532,Franz Wagner,Orlando Magic
1630533,Ziaire Williams,Memphis Grizzlies
1630534,Ochai Agbaji,Utah Jazz
1630535,Greg Brown III,Dallas Mavericks
1630537,Chris Duarte,Sacramento Kings
1630538,Bones Hyland,LA Clippers
1630540,Miles McBride,New York Knicks
1630541,Moses Moody,Golden State Warriors
1630543,Isaiah Jackson,Indiana Pacers
1630544,Tre Mann,Charlotte Hornets
1630547,James Bouknight,Charlotte Hornets
1630548,Johnny Juzang,Utah Jazz
1630549,Day'Ron Sharpe,Brooklyn Nets
1630550,JT Thor,Charlotte Hornets
1630551,Justin Champagnie,Washington Wizards
1630552,Jalen Johnson,Atlanta Hawks
1630553,Keon Johnson,Brooklyn Nets
1630554,Jason Preston,Utah Jazz
1630556,Kessler Edwards,Sacramento Kings
1630557,Corey Kispert,Washington Wizards
1630558,Davion Mitchell,Sacramento Kings
1630559,Austin Reaves,Los Angeles Lakers
1630560,Cam Thomas,Brooklyn Nets
1630561,David Duke Jr.,San Antonio Spurs
1630562,Matt Hurt,Memphis Grizzlies
1630563,Joshua Primo,LA Clippers
1630564,RaiQuan Gray,San Antonio Spurs
1630567,Scottie Barnes,Toronto Raptors
1630568,Luka Garza,Minnesota Timberwolves
1630570,Trendon Watford,Brooklyn Nets
1630572,Sandro Mamukelashvili,San Antonio Spurs
1630573,Sam Hauser,Boston Celtics
1630577,Julian Champagnie,San Antonio Spurs
1630578,Alperen Sengun,Houston Rockets
1630579,Jericho Sims,New York Knicks
1630581,Josh Giddey,Oklahoma City Thunder
1630583,Santi Aldama,Memphis Grizzlies
1630586,Usman Garuba,Golden State Warriors
1630587,Isaiah Livers,Detroit Pistons
1630590,Scotty Pippen Jr.,Memphis Grizzlies
1630591,Jalen Suggs,Orlando Magic
1630592,Jalen Wilson,Brooklyn Nets
1630595,Cade Cunningham,Detroit Pistons
1630596,Evan Mobley,Cleveland Cavaliers
1630598,Aaron Wiggins,Oklahoma City Thunder
1630600,Isaiah Mobley,Cleveland Cavaliers
1630604,E.J. Liddell,New Orleans Pelicans
1630610,DeJon Jarreau,Memphis Grizzlies
1630611,Gui Santos,Golden State Warriors
1630618,D.J. Carton,Toronto Raptors
1630622,Jalen Crutcher,New Orleans Pelicans
1630625,Dalano Banton,Portland Trail Blazers
1630631,Jose Alvarado,New Orleans Pelicans
1630639,A.J. Lawson,Dallas Mavericks
1630641,Ibou Badji,Portland Trail Blazers
1630643,Jay Huff,Denver Nuggets
1630647,Eugene Omoruyi,Washington Wizards
1630649,Stanley Umude,Detroit Pistons
1630658,Colin Castleton,Los Angeles Lakers
1630678,Terry Taylor,Chicago Bulls
1630688,Ish Wainright,Portland Trail Blazers
1630692,Jordan Goodwin,Phoenix Suns
1630695,Micah Potter,Utah Jazz
1630696,Dru Smith,Miami Heat
1630699,MarJon Beauchamp,Milwaukee Bucks
1630700,Dyson Daniels,New Orleans Pelicans
1630702,Jaden Hardy,Dallas Mavericks
1630703,Scoot Henderson,Portland Trail Blazers
1630846,Olivier Sarr,Oklahoma City Thunder
1630929,Henri Drell,Chicago Bulls
1631093,Jaden Ivey,Detroit Pistons
1631094,Paolo Banchero,Orlando Magic
1631095,Jabari Smith Jr.,Houston Rockets
1631096,Chet Holmgren,Oklahoma City Thunder
1631097,Bennedict Mathurin,Indiana Pacers
1631098,Johnny Davis,Washington Wizards
1631099,Keegan Murray,Sacramento Kings
1631100,AJ Griffin,Atlanta Hawks
1631101,Shaedon Sharpe,Portland Trail Blazers
1631102,TyTy Washington Jr.,Milwaukee Bucks
1631103,Malaki Branham,San Antonio Spurs
1631104,Blake Wesley,San Antonio Spurs
1631105,Jalen Duren,Detroit Pistons
1631106,Tari Eason,Houston Rockets
1631107,Nikola Jovic,Miami Heat
1631108,Max Christie,Los Angeles Lakers
1631109,Mark Williams,Charlotte Hornets
1631110,Jeremy Sochan,San Antonio Spurs
1631111,Wendell Moore Jr.,Minnesota Timberwolves
1631112,Kendall Brown,Indiana Pacers
1631114,Jalen Williams,Oklahoma City Thunder
1631115,Orlando Robinson,Miami Heat
1631116,Patrick Baldwin Jr.,Washington Wizards
1631117,Walker Kessler,Utah Jazz
1631119,Jaylin Williams,Oklahoma City Thunder
1631120,JD Davison,Boston Celtics
1631121,Bryce McGowens,Charlotte Hornets
1631123,Jamaree Bouyea,Portland Trail Blazers
1631124,Julian Strawther,Denver Nuggets
1631128,Christian Braun,Denver Nuggets
1631131,Oscar Tshiebwe,Indiana Pacers
